2020-04-22 17:54:12 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 29]
2020-04-22 17:54:12 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 17:54:12 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 32]
2020-04-22 18:13:33 Debug: Notice (8): Undefined property: DelinquentStudentsController::$Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 16]
2020-04-22 18:34:21 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 18]
2020-04-22 18:34:21 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 21]
2020-04-22 18:34:21 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 22]
2020-04-22 18:34:21 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-22 18:34:21 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 18:34:21 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 18:34:23 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 18]
2020-04-22 18:34:23 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 21]
2020-04-22 18:34:23 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 22]
2020-04-22 18:34:23 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-22 18:34:23 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 18:34:23 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 18:35:06 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 21]
2020-04-22 18:35:06 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 22]
2020-04-22 18:35:06 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-22 18:35:06 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 18:35:06 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 18:35:39 Debug: Notice (8): Undefined index: sno in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 18]
2020-04-22 18:35:39 Debug: Notice (8): Undefined index: class_name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 21]
2020-04-22 18:35:39 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 22]
2020-04-22 18:35:39 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-22 18:35:39 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 18:35:39 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 18:35:45 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-22 18:35:45 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 18:35:45 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 18:36:09 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-04-22 18:36:09 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-04-22 18:36:09 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 18:37:13 Debug: Notice (8): Undefined index: name in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-04-22 18:39:19 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 17]
2020-04-22 18:39:19 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 26]
2020-04-22 18:39:51 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 17]
2020-04-22 18:39:51 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 26]
